Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
1.67E+03,-1.68E-02,,,1.50E+00,32.82
1.66E+03,1.68E-03,,,6.42E-01,32.76
1.66E+03,-1.68E-03,,,-6.42E-01,32.52
1.66E+03,-1.68E-02,,,-1.58E+00,32.16
1.65E+03,-2.19E-02,,,-2.14E+00,31.70
1.65E+03,-1.01E-02,,,-1.85E+00,31.23
1.64E+03,0.00E+00,,,-2.53E+00,30.76
1.64E+03,6.73E-03,,,-3.29E+00,30.28
1.64E+03,-3.36E-03,,,-3.83E+00,29.82
1.63E+03,1.85E-02,,,-3.63E+00,29.38
1.63E+03,-1.35E-02,,,-3.70E+00,28.94
1.63E+03,-3.36E-03,,,-3.71E+00,28.51
1.62E+03,-6.73E-03,,,-4.11E+00,28.07
1.62E+03,-1.68E-02,,,-4.52E+00,27.62
1.61E+03,3.36E-03,,,-4.67E+00,27.18
1.61E+03,6.73E-03,,,-4.28E+00,26.75
1.61E+03,1.68E-03,,,-4.23E+00,26.33
1.60E+03,5.05E-03,,,-4.55E+00,25.90
1.60E+03,1.35E-02,,,-4.61E+00,25.46
1.59E+03,6.73E-03,,,-5.55E+00,25.02
1.59E+03,-8.42E-03,,,-5.26E+00,24.59
1.59E+03,-8.42E-03,,,-5.29E+00,24.16
1.58E+03,1.35E-02,,,-5.00E+00,23.72
1.58E+03,1.68E-02,,,-5.54E+00,23.30
1.57E+03,6.73E-03,,,-6.21E+00,22.86
1.57E+03,3.36E-03,,,-6.40E+00,22.44
1.57E+03,-1.01E-02,,,-6.32E+00,22.02
1.56E+03,6.73E-03,,,-6.30E+00,21.59
1.56E+03,1.52E-02,,,-5.86E+00,21.18
1.56E+03,1.01E-02,,,-5.94E+00,20.77
1.55E+03,0.00E+00,,,-6.15E+00,20.35
1.55E+03,2.86E-02,,,-6.07E+00,19.93
1.55E+03,2.52E-02,,,-5.97E+00,19.50
1.54E+03,0.00E+00,,,-5.40E+00,19.10
1.54E+03,-5.05E-03,,,-5.63E+00,18.68
1.53E+03,3.37E-02,,,-5.41E+00,18.27
1.53E+03,3.37E-02,,,-5.86E+00,17.86
1.52E+03,1.68E-02,,,-5.91E+00,17.45
1.52E+03,1.52E-02,,,-4.96E+00,17.06
1.52E+03,1.35E-02,,,-4.60E+00,16.67
1.51E+03,1.85E-02,,,-4.87E+00,16.27
1.51E+03,2.19E-02,,,-5.23E+00,15.87
1.51E+03,3.36E-03,,,-4.88E+00,15.48
1.50E+03,3.20E-02,,,-4.89E+00,15.08
1.50E+03,3.53E-02,,,-4.59E+00,14.68
1.49E+03,1.85E-02,,,-4.52E+00,14.29
1.49E+03,2.52E-02,,,-3.72E+00,13.91
1.49E+03,1.68E-02,,,-3.78E+00,13.54
1.48E+03,6.73E-03,,,-3.35E+00,13.16
1.48E+03,1.18E-02,,,-2.72E+00,12.79
1.47E+03,1.52E-02,,,-1.68E+00,12.41
1.47E+03,8.42E-03,,,-1.12E+00,12.04
1.47E+03,1.01E-02,,,-1.24E+00,11.66
1.46E+03,6.73E-03,,,-6.37E-01,11.29
1.46E+03,-8.42E-03,,,-3.50E-01,10.93
1.46E+03,3.36E-03,,,2.10E-01,10.56
1.45E+03,1.85E-02,,,1.02E+00,10.21
1.45E+03,1.68E-02,,,1.40E+00,9.86
1.44E+03,1.35E-02,,,1.41E+00,9.49
1.44E+03,1.18E-02,,,1.79E+00,9.14
1.44E+03,1.18E-02,,,2.57E+00,8.79
1.43E+03,2.36E-02,,,3.41E+00,8.45
1.43E+03,8.42E-03,,,3.89E+00,8.10
1.43E+03,1.68E-02,,,4.76E+00,7.77
1.42E+03,3.36E-03,,,5.13E+00,7.41
1.42E+03,8.42E-03,,,6.12E+00,7.09
1.41E+03,3.36E-03,,,6.69E+00,6.75
1.41E+03,1.18E-02,,,8.09E+00,6.40
1.41E+03,1.68E-03,,,9.16E+00,6.09
1.40E+03,1.01E-02,,,1.03E+01,5.82
1.40E+03,1.01E-02,,,1.17E+01,5.57
1.39E+03,8.42E-03,,,1.38E+01,5.40
1.39E+03,0.00E+00,,,1.56E+01,5.13
1.39E+03,8.42E-03,,,1.74E+01,4.86
1.38E+03,1.01E-02,,,1.83E+01,4.59
1.38E+03,1.68E-02,,,1.88E+01,4.29
1.37E+03,1.01E-02,,,1.97E+01,4.02
1.37E+03,2.02E-02,,,2.14E+01,3.73
1.37E+03,1.18E-02,,,2.28E+01,3.46
1.36E+03,0.00E+00,,,2.45E+01,3.21
1.36E+03,2.36E-02,,,2.58E+01,2.92
1.36E+03,2.86E-02,,,2.67E+01,2.66
1.35E+03,1.18E-02,,,2.88E+01,2.42
1.35E+03,2.36E-02,,,3.12E+01,2.25
1.34E+03,1.01E-02,,,3.34E+01,2.06
1.34E+03,3.70E-02,,,3.55E+01,1.89
1.34E+03,4.54E-02,,,3.70E+01,1.65
1.33E+03,3.20E-02,,,3.87E+01,1.43
1.33E+03,3.53E-02,,,4.08E+01,1.23
1.32E+03,2.52E-02,,,4.28E+01,1.02
1.32E+03,2.86E-02,,,4.52E+01,0.82
1.32E+03,2.02E-02,,,4.66E+01,0.61
1.31E+03,2.36E-02,,,4.85E+01,0.41
1.31E+03,4.38E-02,,,5.04E+01,0.22
1.31E+03,3.53E-02,,,5.36E+01,0.07
1.30E+03,3.87E-02,,,5.53E+01,-0.11
