Height1,No1,Height2,No2
0,7,0,7
0.132347,10,0.586063,20
0.264694,81,1.172126,38
0.397041,254,1.758189,59
0.529388,688,2.344252,46
0.661735,1167,2.930315,60
0.794082,1810,3.516378,41
0.926429,3602,4.102441,42
1.058776,4314,4.688504,111
1.191123,7161,5.274567,152
1.32347,8995,5.86063,199
1.455817,11809,6.446693,275
1.588164,14238,7.032756,430
1.720511,13635,7.618819,563
1.852858,15070,8.204882,915
1.985205,12518,8.790945,1502
2.117552,11291,9.377008,2147
2.249899,10312,9.963071,3149
2.382246,7825,10.549134,3808
2.514593,7562,11.135197,4694
2.64694,6682,11.72126,5687
2.779287,6331,12.307323,6513
2.911634,6221,12.893386,7388
3.043981,5512,13.479449,8019
3.176328,4871,14.065512,8739
3.308675,4980,14.651575,8951
3.441022,5272,15.237638,8705
3.573369,5361,15.823701,8841
3.705716,6655,16.409764,8837
3.838063,6090,16.995827,8748
3.97041,6184,17.58189,8902
4.102757,6846,18.167953,8988
4.235104,5714,18.754016,8982
4.367451,7119,19.340079,8782
4.499798,6402,19.926142,8607
4.632145,5431,20.512205,8526
4.764492,5283,21.098268,8050
4.896839,3698,21.684331,7977
5.029186,3238,22.270394,7818
5.161533,2422,22.856457,7364
5.29388,1505,23.44252,6855
5.426227,1423,24.028583,6545
5.558574,923,24.614646,6081
5.690921,758,25.200709,5837
5.823268,784,25.786772,5565
5.955615,592,26.372835,5241
6.087962,611,26.958898,4735
6.220309,596,27.544961,4327
6.352656,637,28.131024,4043
6.485003,772,28.717087,3698
6.61735,688,29.30315,3324
6.749697,960,29.889213,2881
6.882044,1073,30.475276,2613
7.014391,1092,31.061339,2276
7.146738,1259,31.647402,2141
7.279085,912,32.233465,1841
7.411432,1002,32.819528,1587
7.543779,704,33.405591,1440
7.676126,526,33.991654,1116
7.808473,361,34.577717,930
7.94082,171,35.16378,864
8.073167,154,35.749843,858
8.205514,131,36.335906,655
8.337861,102,36.921969,558
8.470208,91,37.508032,452
8.602555,94,38.094095,428
8.734902,105,38.680158,291
8.867249,88,39.266221,256
8.999596,82,39.852284,251
9.131943,66,40.438347,194
9.26429,85,41.02441,185
9.396637,82,41.610473,137
9.528984,75,42.196536,143
9.661331,76,42.782599,149
9.793678,86,43.368662,148
9.926025,67,43.954725,149
10.058372,80,44.540788,125
10.190719,85,45.126851,93
10.323066,49,45.712914,95
10.455413,61,46.298977,69
10.58776,48,46.88504,53
10.720107,33,47.471103,93
10.852454,63,48.057166,46
10.984801,36,48.643229,26
11.117148,42,49.229292,8
11.249495,46,49.815355,5
11.381842,30,50.401418,6
11.514189,41,50.987481,13
11.646536,34,51.573544,9
11.778883,28,52.159607,10
11.91123,19,52.74567,3
12.043577,14,53.331733,0
12.175924,9,53.917796,4
12.308271,8,54.503859,3
12.440618,2,55.089922,1
12.572965,3,55.675985,2
12.705312,2,56.262048,1
12.837659,5,56.848111,1
12.970006,4,57.434174,1
13.102353,8,58.020237,1
