Height,No
0,21
0.113525,74
0.22705,150
0.340575,320
0.4541,725
0.567625,1542
0.68115,2784
0.794675,5267
0.9082,9150
1.021725,14715
1.13525,21149
1.248775,27334
1.3623,32082
1.475825,33182
1.58935,30165
1.702875,25015
1.8164,18806
1.929925,12872
2.04345,8332
2.156975,4921
2.2705,2700
2.384025,1439
2.49755,847
2.611075,523
2.7246,393
2.838125,380
2.95165,308
3.065175,325
3.1787,299
3.292225,301
3.40575,284
3.519275,322
3.6328,308
3.746325,321
3.85985,291
3.973375,306
4.0869,259
4.200425,257
4.31395,254
4.427475,276
4.541,238
4.654525,227
4.76805,211
4.881575,220
4.9951,174
5.108625,155
5.22215,160
5.335675,137
5.4492,116
5.562725,140
5.67625,126
5.789775,108
5.9033,94
6.016825,87
6.13035,77
6.243875,84
6.3574,64
6.470925,40
6.58445,37
6.697975,35
6.8115,21
6.925025,28
7.03855,21
7.152075,17
7.2656,19
7.379125,18
7.49265,9
7.606175,26
7.7197,6
7.833225,9
7.94675,17
8.060275,11
8.1738,17
8.287325,12
8.40085,22
8.514375,14
8.6279,14
8.741425,15
8.85495,16
8.968475,17
9.082,11
9.195525,15
9.30905,20
9.422575,14
9.5361,23
9.649625,17
9.76315,14
9.876675,16
9.9902,19
10.103725,17
10.21725,18
10.330775,19
10.4443,15
10.557825,16
10.67135,11
10.784875,12
10.8984,12
11.011925,8
11.12545,5
11.238975,4
