   h    k    l      d(Å)      F(real)      F(imag)          |F|         2theta          I    M
   1    1    1   3.244708   -18.859064    -2.306167      18.9995   27.46637    8.65742    8
   2    0    0   2.810000    87.211237     3.294685      87.2734   31.81997  100.00000    6
   2    2    0   1.986970    74.709835     3.294685      74.7824   45.61968   66.24467   12
   3    1    1   1.694494   -11.737657    -2.306167      11.9621   54.07685    2.30311   24
   2    2    2   1.622354    66.690840     3.294685      66.7722   56.69287   21.48699    8
   4    0    0   1.405000    61.013778     3.294685      61.1027   66.49459    9.48505    6
   3    3    1   1.289316   -11.616071    -2.306167      11.8428   73.37435    1.16831   24
   4    2    0   1.256670    56.724193     3.294685      56.8198   75.60859   25.44910   24
   4    2    2   1.147178    53.317880     3.294685      53.4196   84.36139   19.00569   24

   
