2Theta,I
24.7922102,0.85897
24.81239363,1.06235
24.83257706,1.10561
24.8527605,1.12977
24.87294393,1.07934
24.89312736,1.25048
24.9133108,1.3798
24.93349423,1.57744
24.95367766,1.60204
24.9738611,1.73135
24.99404453,1.87359
25.01422796,2.21534
25.0344114,2.50589
25.05459483,2.93215
25.07477826,3.22835
25.0949617,3.78991
25.11514513,4.68526
25.13532857,6.18677
25.155512,8.36316
25.17569543,12.23007
25.19587887,18.44143
25.2160623,29.21557
25.23624573,45.55634
25.25642917,66.58435
25.2766126,87.19268
25.29679603,100.0
25.31697947,97.85912
25.3371629,81.405
25.35734633,57.40597
25.37752977,35.38338
25.3977132,20.38657
25.41789663,12.57046
25.43808007,8.13656
25.4582635,5.25345
25.47844693,3.33994
25.49863037,2.81957
25.5188138,2.9986
25.53899723,3.15946
25.55918067,2.72994
25.5793641,2.10084
25.59954753,1.58318
25.61973097,1.35324
25.6399144,1.42371
25.66009783,1.479
25.68028127,1.31459
25.7004647,1.00611
25.72064813,0.84176
