   h    k    l      d(Å)      F(real)      F(imag)          |F|         2Theta          I    M
   1    0    1   3.516904    39.636764    46.922680      61.4232   25.30376  100.00000    8
   1    0    3   2.430855    19.312319   -12.282586      22.8873   36.94904    6.15299    8
   0    0    4   2.378500    83.889701     7.335270      84.2098   37.79281   19.81304    2
   1    1    2   2.332561    25.965928     6.997657      26.8923   38.56624    7.72850    8
   2    0    0   1.892500    94.418114     7.473263      94.7134   48.03628   29.28227    4
   2    0    2   1.758452    -0.000000     0.000000  1.25607e-15   51.95953    0.00000    8
   1    0    5   1.700062    39.785344    47.253115      61.7716   53.88540   19.17823    8
   2    1    1   1.666532    34.810614   -27.524697      44.3778   55.06027   18.84890   16
   2    1    3   1.493303    10.622593    17.652326       20.602   62.10645    3.09876   16
   2    0    4   1.480917    63.192873     7.335270      63.6172   62.68438   14.47493    8
   1    1    6   1.364213    48.684218     7.233604      49.2187   68.75531    7.11018    8
   2    2    0   1.338200    72.630234     7.473263      73.0137   70.28633    7.48045    4
   1    0    7   1.279172    14.074965    -7.099994      15.7643   74.05288    0.63027    8
   2    1    5   1.264705    38.055465   -30.587694      48.8244   75.04489   11.79927   16
   3    0    1   1.250717    21.683834    28.969751      36.1861   76.03233    3.16568    8
   2    0    6   1.215427    -0.000000     0.000000  4.99872e-14   78.65702    0.00000    8
   0    0    8   1.189250    29.206460     7.069825        30.05   80.73926    0.49465    2
   3    0    3   1.172301    16.219093    -9.189360      18.6414   82.15520    0.74250    8
   2    2    4   1.166281    52.253871     7.335270      52.7662   82.67186    5.89769    8
   3    1    2   1.160743    22.467425     6.997657      23.5319   83.15362    2.32763   16
   3    1    4   1.069177    -0.000000     0.000000  5.97461e-15   92.18455    0.00000   16
   2    1    7   1.059790     6.375823    13.350794      14.7951   93.24410    0.82635   16
   3    0    5   1.051518    25.439561    32.907332       41.594   94.20228    3.25065    8
   3    2    1   1.043438    18.256325    25.542242      31.3959   95.16164    3.69065   16
   1    0    9   1.018148    21.334343    28.713895      35.7721   98.32489    2.38290    8
   2    0    8   1.006940    26.385583     7.069825      27.3163   99.81181    1.39084    8
